48017	7.166100	0.936540	3
35100	11.099146	1.183301	3
3120	8.688252	0.485330	2
42037	7.100855	0.904728	3
72097	10.434247	0.026405	1
43960	7.414197	0.533453	3
5387	4.112047	0.521897	2
42153	3.099777	0.065767	1
56564	5.593327	0.584906	1
55042	4.439248	0.676565	1
27521	3.168747	1.652025	1
32021	2.824458	0.922036	1
48314	4.515137	1.407384	1
56673	10.290842	0.178554	3
60731	11.400741	1.373425	3
6480	0.000000	1.049090	2
68657	5.999242	0.915745	1
15289	4.942299	0.972101	2
6923	6.209517	0.191133	2
31877	12.865877	1.537798	3
58906	9.829000	0.324181	3
52165	5.383509	1.277867	1
50444	12.356390	1.072660	3
52644	3.329796	0.571114	1
38854	10.084362	1.556794	3
63587	12.440364	0.083282	1
67224	6.619498	1.131895	1
22671	3.200321	1.596463	2
8191	6.721949	0.833735	2
67599	5.916787	1.029039	1
68267	10.823357	1.143898	1
8905	5.277580	1.199321	2
8755	2.786813	0.370473	2
77785	12.876734	1.273063	1
2879	0.000000	1.532259	2
37900	10.436967	1.676952	3
14230	0.680656	1.512527	2
54457	2.886185	0.063289	1
72323	10.234939	1.388640	1
58698	2.306623	1.021542	1
38567	12.245279	1.300836	3
8841	3.435043	0.351713	2
36613	10.766189	0.035451	3
16643	4.412271	0.345188	2
33547	10.868474	0.362894	3
24925	13.134185	0.544030	3
6522	6.953972	1.274388	2
54308	6.428113	1.616102	1
39170	6.762082	1.672333	3
9610	0.985348	0.626237	2
47651	9.384417	0.350515	3
67681	11.012857	0.604220	1
40352	13.699075	0.283128	3
26757	5.654415	1.372113	1
70292	3.620292	0.069289	1
35280	11.175656	1.578565	3
17409	2.192121	0.911934	2
36636	7.609062	1.242129	3
44388	11.327936	0.531521	3
30122	10.976858	0.617725	3
69706	12.460255	0.689961	1
22204	3.812222	1.230380	1
14395	0.000000	1.427224	2
46759	12.545768	0.133869	3
74662	10.021271	0.421867	1
40207	5.727573	0.831242	3
46292	9.594040	0.853175	3
